"Nama Ruang","Jenis","Ukuran (m)","Luas (m²)"
"RK. 24","Ruang Kelas","10.1 x 9.3","94"
"RK.01","Ruang Kelas","9.3 x 10.1","94"
"RK.02","Ruang Kelas","9.3 x 10.1","94"
"RK.03","Ruang Kelas","9.3 x 10.1","94"
"RK.04","Ruang Kelas","9.3 x 10.1","94"
"RK.05","Ruang Kelas","9 x 9.3","84"
"RK.06","Ruang Kelas","9 x 11","99"
"RK.07","Ruang Kelas","9 x 9","81"
"RK.08","Ruang Kelas","9 x 9","81"
"RK.09","Ruang Kelas","9 x 9","81"
"RK.10","Ruang Kelas","9 x 9","81"
"RK.11","Ruang Kelas","9 x 9","81"
"RK.12","Ruang Kelas","9.2 x 9","83"
"RK.13","Ruang Kelas","9 x 9.2","83"
"RK.16","Ruang Kelas","9 x 10.2","92"
"RK.17","Ruang Kelas","9 x 10.2","92"
"RK.18","Ruang Kelas","10.2 x 9.3","95"
"RK.19","Ruang Kelas","12 x 10.2","122"
"RK.20","Ruang Kelas","9 x 10.2","92"
"RK.21","Ruang Kelas","9 x 10.2","92"
"RK.22","Ruang Kelas","9.5 x 10.2","97"
"RK.23","Ruang Kelas","10.1 x 9.3","94"
"RPS Agribisnis Tanaman Pangan dan Hortikultura","Ruang Praktik Siswa","15.3 x 10.2","156"
"RPS Akuntansi dan Keuangan Lembaga","Ruang Praktik Siswa","15 x 11","165"
"RPS Bisnis Daring dan Pemasaran","Ruang Praktik Siswa","12 x 11","132"
"RPS Otomatisasi dan Tata Kelola Perkantoran","Ruang Praktik Siswa","12 x 11","132"
"RPS Tata Boga","Ruang Praktik Siswa","18 x 10","180"
"RPS Teknik Komputer dan Jaringan","Ruang Praktik Siswa","15.5 x 10.5","163"
"R.KOM 2","Laboratorium Komputer","24 x 10","240"
"R.KOMP 1","Laboratorium Komputer","12 x 10","120"
"Perpustakaan 1","Perpustakaan","9 x 8","72"
"Perpustakaan02","Perpustakaan","10 x 9.3","93"
"RK.14 RUANG GURU","Ruang Guru","9 x 10.2","92"
"RK.15 RUANG GURU","Ruang Guru","9 x 10.2","92"
"Ruang KEPSEK","Ruang Kepala Sekolah","12.3 x 10.2","125"
"Ruang Waka","Ruang Wakil Kepala Sekolah","6 x 10","60"
"R. TU","Ruang Tata Usaha","9 x 6","54"
"RUANG TU 2","Ruang Tata Usaha","9 x 7","63"
"BK","Ruang Bimbingan Konseling","6 x 4","24"
"UKS","Ruang UKS","9.2 x 9.2","85"
"RA.1","Kamar Mandi / WC","3 x 1.5","4"
"RA.2","Kamar Mandi / WC","3 x 1.5","4"
"RA.3","Kamar Mandi / WC","3 x 1.5","4"
"RA.4","Kamar Mandi / WC","3 x 1.5","4"
"RA.5","Kamar Mandi / WC","3 x 1.5","4"
"RB.1","Kamar Mandi / WC","2 x 1.5","3"
"RB.2","Kamar Mandi / WC","2 x 1.5","3"
"RB.3","Kamar Mandi / WC","2 x 1.5","3"
"RB.3","Kamar Mandi / WC","2 x 1.5","3"
"RB.4","Kamar Mandi / WC","2 x 1.5","3"
"RC.1","Kamar Mandi / WC","3.7 x 1.5","6"
"RC.2","Kamar Mandi / WC","3.7 x 1.5","6"
"RC.3","Kamar Mandi / WC","3.7 x 1.5","6"
"RC.4","Kamar Mandi / WC","3.7 x 1.5","6"
"WC Guru Laki-laki","Kamar Mandi / WC","1.5 x 2","3"
"WC Guru Perempuan","Kamar Mandi / WC","1.5 x 2","3"
"WC Guru Perempuan","Kamar Mandi / WC","1.5 x 2","3"
"WC Guru Pria","Kamar Mandi / WC","6 x 3","18"
"Gudang 01","Gudang","10 x 3","30"
"Gudang 02","Gudang","10 x 3","30"
"LAPANGAN UPACARA","Lapangan","100 x 25","2500"
"Lapangan Upacara","Lapangan","50 x 25","1250"
"KOLAM","Kolam","8 x 9","72"
"PARKIR GURU","Tempat Parkir","2 x 15","30"
