"Jenis Sarana","Jumlah","Laik Pakai","Tidak Laik"
"Kursi Siswa","235","231","4"
"Meja Siswa","194","190","4"
"Tempat Sampah","49","25","24"
"Meja Komputer","40","40","0"
"Jam Dinding","37","31","6"
"Kursi Guru","32","28","4"
"Lemari","32","25","7"
"Meja Guru","31","28","3"
"Papan Tulis","26","23","3"
"Soket Listrik","25","20","5"
"Soket Listrik/Kotak Kontak","25","20","5"
"Kotak kontak","24","23","1"
"Kloset Jongkok","18","1","17"
"Tempat Air (Bak)","18","2","16"
"Gayung","18","3","15"
"Gayung Air","18","2","16"
"Tempat Air","18","1","17"
"Gantungan Pakaian","16","1","15"
"Gayung (Small Bucket)","16","1","15"
"Papan pengumuman","14","11","3"
"Kursi Kerja","8","5","3"
"Komputer","7","3","4"
"Filing Kabinet","6","6","0"
"Printer","5","1","4"
"Meja Kerja / sirkulasi","4","0","4"
"Scanner","3","1","2"
"Stabilizer","3","1","2"
"Akses Internet","3","1","2"
"Lan Server","3","1","2"
"Kursi dan Meja Tamu","3","2","1"
"Alat Multimedia","3","1","2"
"Bak","2","0","2"
"Meja Pimpinan","2","0","2"
"Rak","2","0","2"
"Lemari/Rak","2","0","2"
"Simbol Kenegaraan","2","0","2"
"Brankas","2","0","2"
"Papan Statistik","2","0","2"
"Kursi Baca","2","0","2"
"Lemari simpan Administrasi","2","0","2"
"Printer TU","2","0","2"
"Kloset Duduk","1","0","1"
"Rak hasil karya peserta didik","1","1","0"
"AC","1","0","1"
"Internet","1","0","1"
"Layar OHP & LCD","1","0","1"
"Penanda Waktu (Bell Sekolah)","1","0","1"
"Gelas Piala","1","0","1"
"Telepon","1","0","1"
"Rak Buku","1","0","1"
"Rak Majalah","1","0","1"
"Rak Surat Kabar","1","0","1"
"Meja Baca","1","0","1"
"Lemari Katalog","1","0","1"
"Abacus","1","0","1"
"Braille kit","1","0","1"
"Globe timbul","1","0","1"
"Magnifier lens set","1","0","1"
"Papan geometri","1","0","1"
"Peta timbul","1","0","1"
"Reglet dan pena","1","0","1"
"Sapu","1","0","1"
"Kipas angin","1","0","1"
"Papan Pajang","1","1","0"
"Kursi Pimpinan","1","0","1"
"Cermin","1","0","1"
"Meja TU","1","0","1"
"Kursi TU","1","0","1"
"Filling Cabinet","1","0","1"
"Pengeras Suara","1","0","1"
"Amplifier","1","0","1"
"Dispenser","1","0","1"
"Komputer Laptop","1","0","1"
"Nampan","1","0","1"
"Timbangan dan pengukur tinggi","1","0","1"
"Tensimeter","1","0","1"
"Alas krucut terpancung","1","0","1"
"Alat pemadam kebakaran","1","0","1"
"Cawan Petri (petridis)","1","0","1"
"Cawan petridis","1","0","1"
"Corong","1","0","1"
"Gelas Penutup","1","0","1"
"Kaki tiga","1","0","1"
"Kasa","1","0","1"
"Kertas saring","1","0","1"
"Meja","1","0","1"
"Mikroskop binokuler","1","0","1"
"Mikroskop monokuler","1","0","1"
"Penjepit Tabung Reaksi","1","0","1"
"Pipet Ukur","1","0","1"
"Tabung Reaksi","1","0","1"
"Bak Cuci","1","0","1"
"Bosshead (Penjepit)","1","0","1"
"Cawan Petri (Petridish)","1","0","1"
"Erlenmeyer 100 Ml","1","0","1"
"Erlenmeyer 1000 Ml","1","0","1"
"Erlenmeyer 250 Ml","1","0","1"
"Erlenmeyer 50 Ml","1","0","1"
"Erlenmeyer 500 Ml","1","0","1"
"Gelas Arloji","1","0","1"
"Gelas Beaker","1","0","1"
"Gelas Benda","1","0","1"
"Gelas Ukur","1","0","1"
"Gelas Ukur (Cylinder Measuring","1","0","1"
"Higrometer Putar","1","0","1"
"Klem Universal","1","0","1"
"Kotak Preparat","1","0","1"
"Kuadrat","1","0","1"
"Lemari Alat","1","0","1"
"Lemari Bahan","1","0","1"
"Lumpang Dan Alu","1","0","1"
"Manual Percobaan","1","0","1"
"Meja Demonstrasi","1","0","1"
"Meja Persiapan","1","0","1"
"Neraca","1","0","1"
"Pembakar Spiritus","1","0","1"
"Pembakar Spirtus","1","0","1"
"Pembakaran Spiritus","1","0","1"
"Peralatan P3K","1","0","1"
"Perangkat Batang Statif","1","0","1"
"Perangkat Bedah Hewan","1","0","1"
"Perangkat Pemeliharaan Mikrosk","1","0","1"
"Pipet Ukur (Measuring Pipette)","1","0","1"
"Potometer","1","0","1"
"Respirometer","1","0","1"
"Sikat Tabung Reaksi","1","0","1"
"Stopwatch","1","0","1"
"Sumbat Karet 1 Lubang","1","0","1"
"Sumbat Karet 2 Lubang","1","0","1"
"Termometer","1","0","1"
"Termometer (Thermometer)","1","0","1"
"Termometer Suhu Tanah","1","0","1"
"Buku inventaris","1","1","0"
"TOTAL","1046","731","315"
